Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,246,0,10000
2,0,493,0,10000
3,0,734,0,10000
4,0,971,0,10000
5,0,1209,0,10000
6,0,1439,0,10000
7,0,1668,0,10000
8,0,1882,0,10000
9,0,2097,0,10000
10,0,2310,0,0
11,0,2520,0,0
12,0,2723,0,0
13,0,2925,0,0
14,0,3127,0,0
15,0,3325,0,0
16,0,3516,0,0
17,0,3703,0,0
18,0,3891,0,0
19,0,4075,0,0
20,0,4253,0,0
21,0,4426,0,0
22,0,4603,0,0
23,0,4776,0,0
24,0,4950,0,0
25,0,5123,0,0
26,0,5292,0,0
27,0,5460,0,0
28,0,5622,0,0
29,0,5783,0,0
30,0,5942,0,0
31,0,6096,0,0
32,0,6252,0,0
33,0,6406,0,0
34,0,6559,0,0
35,0,6714,0,0
36,0,6867,0,0
37,0,7014,0,0
38,0,7165,0,0
39,0,7315,0,0
40,0,7461,0,0
41,0,7603,0,0
42,0,7744,0,0
43,0,7886,0,0
44,0,8029,0,0
45,0,8172,0,0
46,0,8312,0,0
47,0,8450,0,0
48,0,8589,0,0
49,0,8725,0,0
50,0,8861,0,0
51,0,8995,0,0
