Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,139,0,10000
2,0,279,0,10000
3,0,420,0,10000
4,0,559,0,10000
5,0,697,0,10000
6,0,836,0,10000
7,0,975,0,10000
8,0,1113,0,10000
9,0,1246,0,10000
10,0,1379,0,0
11,0,1515,0,0
12,0,1649,0,0
13,0,1782,0,0
14,0,1915,0,0
15,0,2043,0,0
16,0,2172,0,0
17,0,2300,0,0
18,0,2430,0,0
19,0,2557,0,0
20,0,2685,0,0
21,0,2806,0,0
22,0,2929,0,0
23,0,3054,0,0
24,0,3178,0,0
25,0,3302,0,0
26,0,3424,0,0
27,0,3546,0,0
28,0,3669,0,0
29,0,3788,0,0
30,0,3907,0,0
31,0,4026,0,0
32,0,4143,0,0
33,0,4260,0,0
34,0,4379,0,0
35,0,4494,0,0
36,0,4610,0,0
37,0,4724,0,0
38,0,4839,0,0
39,0,4953,0,0
40,0,5066,0,0
41,0,5175,0,0
42,0,5286,0,0
43,0,5397,0,0
44,0,5506,0,0
45,0,5614,0,0
46,0,5723,0,0
47,0,5831,0,0
48,0,5941,0,0
49,0,6049,0,0
50,0,6157,0,0
51,0,6266,0,0
52,0,6372,0,0
53,0,6478,0,0
54,0,6583,0,0
55,0,6687,0,0
56,0,6790,0,0
57,0,6895,0,0
58,0,7000,0,0
59,0,7102,0,0
60,0,7206,0,0
61,0,7310,0,0
62,0,7414,0,0
63,0,7515,0,0
64,0,7618,0,0
65,0,7720,0,0
66,0,7821,0,0
67,0,7922,0,0
68,0,8023,0,0
69,0,8124,0,0
70,0,8224,0,0
71,0,8325,0,0
72,0,8424,0,0
73,0,8524,0,0
74,0,8622,0,0
75,0,8721,0,0
76,0,8819,0,0
77,0,8914,0,0
78,0,9011,0,0
79,0,9107,0,0
80,0,9193,0,0
81,0,9288,0,0
82,0,9384,0,0
83,0,9478,0,0
84,0,9573,0,0
85,0,9666,0,0
86,0,9760,0,0
87,0,9854,0,0
88,0,9948,0,0
89,0,10000,0,0
90,0,10000,0,0
91,0,10000,0,0
92,0,10000,0,0
93,0,10000,0,0
94,0,10000,0,0
95,0,10000,0,0
96,0,10000,0,0
97,0,10000,0,0
98,0,10000,0,0
99,0,10000,0,0
100,0,10000,0,0
101,0,10000,0,0
102,0,10000,0,0
103,0,10000,0,0
104,0,10000,0,0
105,0,10000,0,0
106,0,10000,0,0
107,0,10000,0,0
108,0,10000,0,0
109,0,10000,0,0
110,0,10000,0,0
111,0,10000,0,0
