Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,143,0,10000
2,0,282,0,10000
3,0,423,0,10000
4,0,564,0,10000
5,0,703,0,10000
6,0,843,0,10000
7,0,980,0,10000
8,0,1115,0,10000
9,0,1251,0,10000
10,0,1385,0,0
11,0,1522,0,0
12,0,1658,0,0
13,0,1791,0,0
14,0,1922,0,0
15,0,2053,0,0
16,0,2183,0,0
17,0,2311,0,0
18,0,2439,0,0
19,0,2562,0,0
20,0,2687,0,0
21,0,2811,0,0
22,0,2932,0,0
23,0,3054,0,0
24,0,3176,0,0
25,0,3297,0,0
26,0,3419,0,0
27,0,3537,0,0
28,0,3656,0,0
29,0,3773,0,0
30,0,3891,0,0
31,0,4009,0,0
32,0,4123,0,0
33,0,4237,0,0
34,0,4351,0,0
35,0,4463,0,0
36,0,4577,0,0
37,0,4688,0,0
38,0,4800,0,0
39,0,4911,0,0
40,0,5021,0,0
41,0,5130,0,0
42,0,5241,0,0
43,0,5351,0,0
44,0,5461,0,0
45,0,5570,0,0
46,0,5680,0,0
47,0,5788,0,0
48,0,5894,0,0
49,0,6000,0,0
50,0,6107,0,0
51,0,6211,0,0
