Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,344,0,10000
2,0,706,0,10000
3,0,1070,0,10000
4,0,1421,0,10000
5,0,1750,0,10000
6,0,2067,0,10000
7,0,2363,0,10000
8,0,2636,0,10000
9,0,2902,0,10000
10,0,3152,0,0
11,0,3402,0,0
12,0,3638,0,0
13,0,3860,0,0
14,0,4092,0,0
15,0,4316,0,0
16,0,4535,0,0
17,0,4743,0,0
18,0,4946,0,0
19,0,5152,0,0
20,0,5352,0,0
21,0,5543,0,0
22,0,5735,0,0
23,0,5928,0,0
24,0,6112,0,0
25,0,6293,0,0
26,0,6475,0,0
27,0,6658,0,0
28,0,6832,0,0
29,0,6998,0,0
30,0,7147,0,0
31,0,7301,0,0
32,0,7458,0,0
33,0,7625,0,0
34,0,7788,0,0
35,0,7951,0,0
36,0,8109,0,0
37,0,8266,0,0
38,0,8418,0,0
39,0,8569,0,0
40,0,8720,0,0
41,0,8874,0,0
42,0,9022,0,0
43,0,9170,0,0
44,0,9316,0,0
45,0,9463,0,0
46,0,9610,0,0
47,0,9753,0,0
48,0,9897,0,0
49,0,10000,0,0
50,0,10000,0,0
51,0,10000,0,0
